id,text,user,is_hateful
10230,@user il le culot qu'ont les rebeus de cité...,user_1,0
10231,voilà pourquoi le problème des noirs et des arabes en france il finira jamais est trop diviser wesh des que y'a… @url,user_3,0
10232,demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en…,user_9,0
10233,@user oui c'est vrai <3,user_1,0
10234,Non ces le droit à chaque personne de s'habillier librement.,user_13,0
10235,.@user ne parlez pas au nom des suisses. merci. vous êtes une immigrationiste islamo-gauchiste. vous n'avez ri… @url,user_10,0
10236,"Most French Muslims were born in France, how do they actually return home?",user_5,0
10237,Les musulmans veulent imposer la sharia en Europe.,user_3,0
10238,Should we react to this discourse? Silence is the best answer,user_11,0
1024,@user merci et l'autre attardé il met sane et dembele au meme niveau dmr,user_8,0
10240,l'année dernière pdt l'hiver je prenais le bus et il fesait grave froid t'avait 2 petits renois qui attendait à l'a…,user_9,0
10241,de toutes façons ça ne s'arretera jamais. chacun cherche le meilleur pour lui et il aura toujours des migrants.…,user_10,0
10242,donc jl c'est pas pour jul et t'es attardé à confondre « sa » et « ça »,user_14,0
10243,le 28 septembre c'est la journée mondiale pour le droit à l'avortement : contre les tentatives réactionnaires de re…,user_9,0
10244,Veiled women work when they want to.,user_5,0
10245,oui mais c...etait un gauchiste tolerant.nil ne faut pas le stigmatiser.n,user_2,0
10247,@user tqt faut faire confiance à dybaela cr7 et l'attardé de bogota comme il est appelé sur twitter,user_7,0
10248,What is exactly the problem?,user_10,0
10249,"Islam is a recognized religion, your hate is the disease. Do not try to contaminate us.",user_2,0
1025,@user questu baves gros mongol,user_4,0
10250,typique du gauchiste dans le deni de realite. elle pense parce qu...elle te bloque et ne tu ne la vois...,user_6,0
10251,jsuis vraiment un attardé,user_10,0
10252,@user @user @user @user mais bordel t'es attardé ? goten avait le ssj dans ses genes c'e… @url,user_2,0
10253,Souhaitée vous une guerre des confessions? Ces pourtant le discours que vous tennez.,user_1,0
