id,text,user,is_hateful
0,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,user_15,1
1,@user @user @user bah oui t'as raison l'autre c'est un mongol.,user_8,1
2,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,user_10,1
3,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,user_12,0
4,eh les renois faut se réveiller la @url,user_1,0
5,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,user_7,1
6,@user sjw et féministe twitter un sale combo,user_4,0
7,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,user_1,0
8,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,user_13,1
9,c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,user_12,1
10,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,user_15,1
11,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,user_1,0
12,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,user_8,1
13,@user @user @user alors pas du tous toi tu es vraiment attardé,user_10,1
14,@user sale arabe ( arrête avec tes hontes toi ),user_14,1
15,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,user_4,1
16,@user ohhh la violence je meuuurs,user_9,0
17,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,user_1,1
18,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,user_6,1
19,glik tu es un gros mongol,user_3,1
20,@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,user_4,1
21,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,user_3,1
22,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,user_1,1
23,@user t’a vu gl dirait un attardé...,user_3,1
24,forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,user_4,1
25,@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,user_6,1
26,@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url,user_3,1
27,@user tu te crois intelligent avec ta réflexion facebook d'attardé ?,user_11,1
28,rt @user c'est con un gauchiste quand meme !!! @url,user_11,1
29,shoutout les daronnes rebeus avec leurs fils adorés @url,user_13,1
30,@user @user l'empire mongol,user_13,0
31,@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url,user_2,0
32,@user pour ou contre l'avortement ?,user_3,0
33,bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url,user_7,1
34,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,user_9,1
35,@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,user_10,0
36,quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,user_3,0
37,@user @user @user @user @user @user @user la vraie violence c’est de force… @url,user_5,1
38,mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url,user_4,1
39,peut s'attendre à des lendemains difficiles pour le royaume-uni si jeremy #corbyn islamo-gauchiste de la pir… @url,user_12,1
40,@user t’es surtout un attardé,user_9,1
41,@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… @url,user_8,0
42,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url,user_13,0
43,@user quand tu lui dit que la commission est un monstre anti démocratique non élu il te traite de débile! il vi… @url,user_8,1
44,ces dames arabes toujours à se plaindre @url,user_13,1
45,@user @user l'état civil chez les renois c'est en option aussi.,user_15,1
46,@user @user @user halim95 au lieu d' hurler comme un attardé mental ouvrez les yeux sur les parole… @url,user_15,1
47,@user dirait un gauchiste qui chouine source ?,user_5,1
48,@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,user_5,1
49,jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis très sereinement … @url,user_12,1
50,rejetez le machisme blanc vous aurez le machisme africain.,user_3,1
51,doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada,user_10,0
52,c est qui le mongol en face bourdin? @url,user_2,1
53,#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url,user_14,1
54,je suis coincé à berlin entre une manifestation d’extrême droite contre l’avortement une autre de gauchistes et un… @url,user_15,1
55,@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,user_2,1
56,@user @user et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant… @url,user_1,1
57,@user tu nous ramène une maladie de jérusalem?],user_1,1
58,@user la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s’attaque trop à eux,user_14,1
59,@user @user @user non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min,user_3,1
60,vidéo voici comment des migrants africains vivent en #france c’est pire qu’en #afrique @url,user_9,1
61,@user décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con… @url,user_11,0
62,@user mathilde c est normal il bien une tète intello attardé !doux baisers,user_9,1
63,@user @user @user mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou… @url,user_8,0
64,Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de la voiture,user_4,1
