id,text,user,is_hateful
13678,"Are you a mind reader? And if not, the psg wins the next game?",user_1,0
14176,grosso modo les ouïghours sont un peuple turc (ou turco-mongol) et musulman. bien s…,user_12,0
14366,j'suis en pls en plus je matche en majorité avec des renois alors qu'ils m'ont jamais cala ne perdon…,user_5,1
14467,non à la dictature de la pensée non au terrorisme intellectuel. oui à la liberté d'expression de conscience et d'opinion.,user_10,0
14558,ah non trql j’ai cru lire sale juif,user_4,1
14783,mais soma gros mongol cinnamon c’est quoi?,user_1,0
14896,pk ce genre de tweet c tjr rédigé par des rebeus mdr,user_7,1
15031,délit de solidarité pour cédric herrou dans son combat pour l'accueil et la protection des migrants africains dan…,user_6,0
15721,vos voulez dire que vous soupçonnez d'apologie du terrorisme islamique? et…,user_10,0
15722,il serait peut être temps que je m’y attarde alors,user_5,0
15815,cst comme parler d'islam et de terrorisme. les gens qui brisent des vitrines détruisent sous-couvert de l'antispé…,user_8,0
16139,déf. du racisme d'un gauchiste qui veut absolument disculper les noirs et arabes du crime de racisme. le racisme an…,user_9,0
16833,la violence du tweet .. je suis outré,user_8,0
17509,les gens contre l'avortement ce sont aussi les mêmes qui vont ensuite critiquer les parents de ne pa…,user_2,0
18379,La majoritÃ© des femmes voilÃ©es a choisi de porter le voile en pleine conscience et en accord avec ses principes religieux.,user_11,0
18538,L'oppression et la stigmatisation ne sont pas des moyens libÃ©rateurs si soumission il y avait.,user_3,0
20845,Incitation Ã la haine le terrorisme est interdit du fait que se serait porter atteinte aux personnes pr leur faire du mal!,user_5,0
21079,"La derniÃ¨re fois qu'un dirigeant s'est montrÃ© aussi catÃ©gorique Ã l'Ã©gard d'une minoritÃ© de son pays, il a tentÃ© de les exterminer physiquement.",user_12,0
21233,Certaines femmes voilÃ©es prÃ©fÃ¨rent se consacrer Ã l'edu de leurs enfants.,user_4,0
2105,jbrise les rapports comme les renois de stamford bridge,user_3,1
2194,: [@user pour votre info elle raison vous le gauchiste bien pensant !!! sortez de vos beaux quartiers !!! et p… @url,user_3,1
2433,attendu que la #belgique un taux de politiciens plus élevé que celui des #migrants...,user_8,1
2619,@user demandez à julien cazarre d’arrêter de faire l’accent africain d’après lui à chaque fois qu’il un noir… @url,user_12,1
2724,@user ptdr arrête de faire l'attardé ici t'es entrain de serrer pr un vieux pique en mode araki c'est t… @url,user_8,1
2863,@user ceci change t-il le fait que les arabes ne représentent que 4 % en tunisie mdr ?,user_11,1
2970,@user ça change pas que qd mm un mongol,user_12,0
3283,voilà ce qui se passe aujourd'hui dans nos forêts françaises la violence à l'état pur !… @url,user_12,1
3310,@user @user il va finir comme les tontons rebeus qui passent leurs vies au pmu ..,user_7,1
3360,@user tavais qua pas te faire voler mongol,user_2,1
3729,@user je precise tout de suite que je ne suis pas un islamo-gauchiste et que je ne nie pas l'antisemitisme... @url,user_1,0
4285,@user l'attardÃ© de la localitÃ©,user_10,1
4318,ouaip c'est dur comprendre dans le 16eme paris intramuros quand les seuls vac...,user_13,0
4806,"If it did not exist, it would be necessary.",user_9,0
4866,Media are responsible for this speech!,user_12,0
5456,brefffffffffff je mâ€™attarde plus psq vous aller rester sur votre point de vue et moi sur le mien donc au revoir,user_11,1
5474,ahah la rÃ©plique d'un attardÃ©,user_11,1
5553,et non !! mais quel mongol celui la nos frat c'est la samp.,user_10,1
5564,@user un tÃ©moin de l'empreinte des presque trois cents ans d'existence cumulÃ©es de l'empire mongol et de la horde d'or.,user_3,0
5705,C'est d'ailleurs pour ÃƒÂ§a qu'ils sont des millions Ãƒ venir vivre dans des pays oÃƒÂ¹ la majoritÃƒÂ© de la population n'est pas musulmane.,user_15,0
5890,The term Islamic is an aberration.,user_1,0
6086,Apportez vos preuves.,user_10,0
6169,@user du coup pour lâ€™attarde câ€™est celui qui Ã©met un jugement ou celui qui juge sans avoir vu,user_6,0
6174,"C'est sÃƒÂ»r qu'Ãƒ cette allure, elles seront complÃƒÂ¨tement rejetÃƒÂ©es, pas de sortie scolaires, pas de piscine, pas de sport et pas de boulot. La faute a qui?",user_10,0
6345,c'est ce gauchiste de sotto qui mÃ¨ne le dÃ©bat?? Ã‡a promet... @url,user_7,1
6778,@user câ€™est vous qui essayez de cacher votre racisme anti-allemand en le dissimulant dans une thÃ©orie du compâ€¦ @url,user_1,1
7147,qu'en pensent les obscurantistes pro-agrochimie pro-dÃ©veloppement Ã  outrance anti-Ã©colos et autres climato-sceptiâ€¦,user_14,1
7490,oui est dâ€™accord câ€™est les anti qui parle dâ€™argent sale ou plutÃ´t dâ€™â€¦,user_5,0
7991,The Christian veil is however not connected with the policy as it is the same motivation.,user_4,0
8115,This is not true about the Muslim religion and the most fraternal of religions for all the world.,user_12,0
8136,et : le triangle de la honte islamo-gauchiste zn râ€¦,user_12,0
8630,Oula mais vous confondez plusieurs notions il va falloir choisir laquelle les qualifie.,user_2,0
8911,@user l'ua ne sert Ã  rien elle est financÃ© par l'occident qui lui dicte sa conduite la crise des migrants l'uaâ€¦ @url,user_8,0
8939,@user @user comme vous n'Ãªtes pas juif vous Ãªtes con et sale.,user_2,1
9259,sÃ»rement une manifestation de la dÃ©tresse de ces gens victimes d'une sociÃ©tÃ© qui &lt;insÃ©rer blabla gauchiste ici&gt; @url,user_14,1
9283,dÃ©guisement pour chien mongol @url,user_12,1
9809,psg : draxler envoie un message de soutien aux enfants rÃ©fugiÃ©s via,user_15,0
9835,". Les problÃƒÂ¨mes qui viennent en prioritÃƒÂ© dans le quotidien des franÃƒÂ§ais sont l'emploi, le pouvoir d'achat pas le communautarisme.",user_4,0
10233,@user oui câ€™est vrai &lt;3,user_1,0
10253,SouhaitÃƒÂ©e vous une guerre des confessions? Ces pourtant le discours que vous tennez.,user_1,0
10448,I don't know any women who are veiled out of obligation.,user_9,0
10538,Also freedom of conscience.,user_12,0
10928,@user @user @user @user la dÃ©christianisation ou l'abrutissement et la propagande gauchiste?â€¦ @url,user_1,1
11112,"Tu connais tout les musulmans, ÃƒÂ§a doit en faire du monde.",user_11,0
11182,Remaining modest prevents girls from finding themselves in uncomfortable situations.,user_10,0
11792,tout individu noir arabe ou qui crie allah akbar est un terroriste. par contre un blanc d'extrÃªme droite antisÃ©mâ€¦ @url,user_2,1
11938,arff... les renois..,user_7,0
12103,This choice is mine.,user_12,0
12237,? quelle forme de violence ? je pose juste la question de savoir ce qâ€¦,user_8,0
12513,oue ils sont tous attarde miskine,user_6,1
12540,@user il est tellement etrange comment la gauche soit disante progressiste feministe et pro-lgbt est devenuâ€¦ @url,user_4,1
12553,je suppose manif que vous Ãªtes contre l'avortement ?,user_10,1
13224,Change de lunettes.,user_1,0
14376,tu é mongol ?,user_15,1
14571,la violence faite aux femmes s'exprime aussi dans les classes aisées --&gt;le procès du pdg du dauphiné libéré pour vi…,user_12,1
14643,ahah la réplique d'un attardé,user_14,1
14710,oh jean tu resteras dans la tete de certains qu un sale arabe un sale bougnoule...tot ou tard te rappellera que…,user_2,1
14809,ptdrr tout s’enchaine aucun effet ? bon je pense que tu es attarde donc la discussion est inutile,user_12,1
