id,text,user,is_hateful
0,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,user_15,0
1,@user @user @user bah oui t'as raison l'autre c'est un mongol.,user_8,0
10,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu'elle p… @url,user_15,0
100,@user @user @user @user @user juste un gauchiste toujours à donner des leçons de morale,user_8,0
1000,@user wauquiez est un gauchiste par rapport à nous,user_14,0
10000,@user @user ce n'est pas de sa faute : il est attardé.,user_3,0
10001,@user @user « nous sommes en france ».... « nous ne sommes pas en afrique » vos propos sont d'un ri… @url,user_14,0
10002,"If by problem you mean that Muslims are investing a public space that was forbidden to them until a few decades ago, it is not society that has a Muslim problem, it is you who have a hate problem.",user_12,0
10003,ici c'est arabo-satanique. pour le sale arabe je le croisais…,user_12,0
10004,"Le voile dérange car il est visible, on peut dire quoi sur le port de La Croix ou d'une kippa?",user_15,0
10005,Why in hatred for a community that just doesn't ask to be at peace :(.,user_10,0
10006,Vous avez peur de ce que vous ne connaissez pas.,user_2,0
10007,Others are well subject to idiocy.,user_9,0
10008,@user @user l'argument c'est que les noirs et les arabes se revendiquent comme noir et arabes et le pigeon g… @url,user_2,0
10009,@user @user j'aimerais bien savoir pourquoi « l'islamogauchiste » est votre ennemi principal et… @url,user_11,0
1001,@user une des pires celle-là ... une gauchiste revendiquée d'ailleurs ...,user_14,0
10010,L'islam nous envahira: c'est l'islamisation.,user_9,0
10011,Je suis surement plus légitime dans mon statut de citoyen Français que vous ne l'êtes avec vos propos haineux.,user_3,0
10012,@user faux nul zéro la majorité ne sont pas arabes,user_6,0
10013,wallah frere y'a des renois ici si ils disent pas du mal des arabes ils dorment archi mal (hamdoulla…,user_5,0
10014,des #migrants clandestins armés s'affrontent devant la fac d'éco-gestion à #marseille. les expulser est une urgence… @url,user_5,0
10015,"Their numbers are growing, thus it should please them .",user_11,0
10016,bien des migrants vivaient aussi dans l'illégalité aux États-unis @url,user_12,0
