id,text,user,is_hateful
11265,Les musulmans doivent intÃƒÂ©grer ou quitter la France!,user_15,1
11291,"Si tel est leur choix, vous ne pouvez pas leur interdire ce que les droits de l homme ont consacrÃƒÂ©, la libertÃƒÂ© de culte.",user_4,0
11364,t'es attardÃ© ou quoi ? pourquoi tu follow alors ? t'es ridicules,user_6,1
11582,"Faux, c'est un acte complÃƒÂ¨tement personnel.",user_5,0
12153,je kiffe ce genre de tweet ou tu sens que la nana envie de lui dire ferme ta gueule sale arabe mais se retientâ€¦ @url,user_10,1
12461,It is hate massages that must be fought. Islam is a religion that invites people to live together and therefore not to fight.,user_3,0
12550,sur twitter j'viens de tomber sur la vidÃ©o d'une blanche qui se fait dÃ©capiter Ã  la machette par des renois au finâ€¦ @url,user_3,1
12847,Ã§a change pas que qd mm un mongol,user_6,0
13093,moix c'est un anti tout pro rien une sorte d'ado trÃ¨s attardÃ© enfin pas fini quoi insupportable @url,user_2,1
13241,Les musulmans sont dans tous les pays.,user_7,0
13711,Islam is a religion that calls for reasoning.,user_6,0
13958,j'y peut rien si t'es attardé et ta pas compris,user_15,1
14318,ce sont plutot les collabos gauchiste qui avaient tourne les yeux de leurs pauvres congeneres causes d'eux des mi,user_1,1
15715,22 migrants dont des sénégalais arrêtés dans un bus en direction de la gare de lyon-perrache -…,user_14,1
15979,machin à lunettes va se faire une fois ramasser par des migrants et il pleurera. fran…,user_3,0
16071,la 1ère étape du négationnisme est de ne pas prononcer le mot islam. il s'agit pourtant de …,user_2,1
16173,pour votre information bande de sale putes de le mot marabout est un mot d'origine arabe et maraboutée est un…,user_12,0
16554,il rend hommage aux terroriste aux anti-français vraiment un débile profond et nous ruines se demande au servic…,user_12,1
16870,j’viens dvoir une conv en deux rebeux sur twitter il taillait un de leur pote rebeu pcq il kiffe les renois. À base…,user_2,0
16973,c'est quoi un ou une negrophille pck je comprends pas et c un renoi qui te parle — negro = noir (ici pas la couleur…,user_6,0
17020,je rêve la mairie de yerres qui laisse la mairie annexe à une asso complotiste pour tenir une permanence anti-link…,user_8,1
17149,pour sa qu’elle ta reniée sale fdp d’attardé mental gay de merde qu’allah t’aide wallah,user_1,1
18677,"\"Auparavant : \"\" les femmes musulmanes portent un foulard car elles sont soumises\"\" Maintenant : \"\" le voile islamique est la dÃ©monstrations d'un islam politique\"\". Donc les femmes musulmanes n'ont pas de libre choix. Mais quand mÃªme! Elle font le choix de soutenir un islam politique! Trouvez l'erreur.\"",user_9,0
19034,Et si on prÃ©conisait la mÃªme chose pour les franÃ§ais Ã l'Ã©tranger?,user_14,0
19036,"Les musulmans sont dÃ©jÃ intÃ©grÃ©s dans la France. Ils conduisent nos bus, Ã©duquent nos enfants et construisent la nation.",user_10,0
20388,"L'islam n'envahi pas, le prosÃ©lytisme est interdit celui qui choisit l'islam c'est par pour conviction.",user_12,0
20953,"Je ne cautionne pas ce propos. Si on remonte au debut du terrorisme, les initiateurs n ont pas Ã©tÃ© les musulmans.",user_1,0
20995,Pourquoi dans ce cas les musulmans condamnent ils unanimement tous les attentats ayant eu lieu sur le sol franÃ§ais et europÃ©en.,user_3,0
21305,"Les femmes voilÃ©es sont des femmes fortes, travailleuses et dÃ©terminÃ©e. Certaines travaillent, d'autres non ; c'est un choix et non quelque chose qu'on leur impose.",user_10,0
2104,ferme la gros mongol et retourne tweeter de la merde @url,user_13,1
2503,@user @user rennes ....ville gauchiste depuis 1977 sans interruption,user_1,0
2553,les joueurs ps4 c’est des mongol en puissance,user_14,1
2670,bienvu pour cette espèce d'attardé j'ai supprimé mes photos,user_11,1
2807,spectacle de malik bentalha nul 0 les humoristes rebeus tjrs obligés de sortir des vieux clichés et de rabaisser les parents c triste,user_8,1
2856,les renois quand il une pénurie de crème mixa @url,user_3,1
3185,t’as vla les potes renois pour un rebeu — mdr ça veut dire quoi ça est tous pareil gros @url,user_9,0
3191,islamo -gauchiste qui ne peut être élu que lorsque le communautarisme est majoritaire ! @url,user_4,1
3426,@user @user @user ferme ta gueule islamo gauchiste. en mai 2019 vous allez vous prendre u… @url,user_9,1
3624,@user essayes tjrs mongol,user_14,1
4112,La quasi totalitÃƒÂ© des musulmans vivent en paix avec les autres religions.,user_2,0
4149,@user et toi sale arabe non? personne veut de toi tâ€™en trop marre de bz des chÃ¨vres ? donc ta la haine que onâ€¦ @url,user_8,1
4237,@user @user encore heureux daesh nâ€™est que haine endoctrinement dÃ©formation de lâ€™islam et terroriâ€¦ @url,user_10,1
4278,Les femmes non voilÃƒÂ©es sont tout autant soumises.,user_1,0
4591,Ta rÃƒÂ©flexion est une agression contre le principe de laÃƒÂ¯citÃƒÂ©.,user_13,0
4634,Ce type d'affirmation catÃƒÂ©gorise une population entiÃƒÂ¨re sans fondement aucun.,user_12,0
5300,tu parles sans savoir encore une fois.. dans le virage nord tâ€™as des renois des rebeu et tâ€™as pasâ€¦,user_7,1
5401,I sense a heart full of hate. You would feel aggrieved by your shadow.,user_13,0
5623,l'islamo-fÃ©ministe (lÃ -dedans il faut inclure tout victimologiste de gauche dont l'islam est le nouveau dreyfus)â€¦ @url,user_10,1
