id,text,user,is_hateful
10760,"Rassurez-vous : l'islam n'est pas contagieux. En revanche, les idées fausses le sont très certainement. Il faut donc les éradiquer absolument. Pour cela, n'hésitez pas à vous ouvrir à autrui et à vous informer en visitant notre site. Votre santé ne s'en portera que mieux.",user_5,0
10761,Start by understanding why and you'll be smarter.,user_11,0
10762,Your arguments are against freedom of worship.,user_5,0
10764,daniel cohn ben sano et un judeo-gauchiste anti-clerical sodomite normal qu'il soit cont...,user_7,0
10765,il n'y rien à revoir fatima désolé mais pour moi sale noir sale arabe sale jaune sale bri…,user_11,0
10766,sale arabe ! benoit — exactement,user_12,0
10767,mais cette bobo parisienne gauchiste serieux ses problemes s'en fout ya beaucoup plus important que le...,user_13,0
10768,ta apporté quoi toi part ta sale geule d'arabe et ta grand mère,user_11,0
10769,Do you know other words that end in 'ist' for 5pts?,user_4,0
1077,@user @user c' est un sale juif...,user_6,0
10770,non non il n'y pas d'islamisation .... c'est un fantasme de l'extrême droite ....,user_7,0
