id,text,user,is_hateful
10396,My veil is a personal choice.,user_10,0
10397,drax il termine dans le 2 cet attardé il aucun filtre,user_5,0
10398,pittsburgh : le poison de l'antisémitisme encore tué (pcf),user_7,0
10399,sale arabe: un ex-policier condamné pour agression au couteau @url,user_3,0
104,d'autres moyens sont déployés pour empêcher l'exode de migrants economiques africains et décourager leur transit pa… @url,user_13,0
1040,contre l'avortement soutenons le docteur bertrand de rochambeau @url,user_3,0
10400,@user il joue un rôle le bengouss c'est pareil sauf que pour le sud tu comprends l'accent pour les autres c'est un mongol.,user_11,0
10401,laissez les gamins s'habiller comme ils le souhaitent merde. gérez le harcèlement ou la baisse du nivea…,user_5,0
10403,Le voile est sur ma tête pas sur la tienne.,user_2,0
10404,This is what the media want to show when it is totally false.,user_5,0
10405,bah y'a qu'à quand même de très belles phrases si s'y attarde un peu @user @url,user_12,0
10406,"Hate speech. No generalizations, please. Terrorism is not linked to any religion or race.",user_9,0
10408,@user @user @user mais assume d'être attardé il rien de mal,user_13,0
10409,Well look elsewhere.,user_13,0
1041,pq s'attarde tjrs sur les gens qui n'en valent pas la peine?,user_13,0
10410,la il ferme sa gueule l'attardé mental insoumis @url,user_7,0
10411,Thanks to you! For some people unfortunately.,user_5,0
10412,@user @user le baath c'etait un parti pour tous les arabes avec une variante dans chaque pays (baath irakien sous saddam etc),user_1,0
10413,"Vous avez oublié : anthropophages, satanistes, crypto-anarchistes, bolchéviques, arabo-maçons (et oui, vous n'en avez jamais entendu parler, c'est un complot!), antisémites, assassins. Soyons précis s'il vous plait!",user_7,0
10414,@user @user merci pour cet échange. vous n'aimez pas les arabes dite le clairement. bonne journée.,user_4,0
10415,@user parce qu'ils n'ont jamais froissé les juifs ils savent que tant qu'ils insultes les noirs les arabes ou les… @url,user_12,0
10416,@user @user @user oui je parlais des gens qui m'ont traité de sale arabe ou de blanche ou ap… @url,user_2,0
10417,mathilde c est normal il bien une tète intello attardé !doux baisers,user_11,0
10418,Check your sources! Islam supports freedom of religion as in the Koran 'no bond in religion'. It supports the values of solidarity and peace. It has been a source of light for humanity with many discoveries.,user_10,0
1042,@user aah c'est bon ta repris les cours ?,user_7,0
10420,ptdrrr j'aimais bien ton tweet jusqu'au mot attardé sale enfoiré,user_7,0
10421,migrants africains: le pouvoir algérien les expulse à tour de bras. ils ... @url via @user,user_8,0
10422,Ça coupe des lampadaires à la meule et ça ce dis fou ?? juste attardé tu sectionne un cable tu reste collé tu bou… @url,user_15,0
10424,ptdrrr tout les « anti satanistes/theorie du complot » dans la sauce @url,user_6,0
10425,grèce: les transferts de réfugiés et migrants vers le continent s'accélèrent @url @url,user_7,0
10426,You confuse Arab with Muslim.,user_2,0
10427,la repression au entre 1964 et 1985 fut essentiellement dirigee contre la petite-bourgeoisie,user_14,0
10428,ptdr il 36 ans il joue encore l'ado attardé,user_15,0
10429,@user @user c'est un algérien cet arbitre ? dirait qu'il est un peu attardé non?,user_15,0
1043,@user @user quel mongol ce mec,user_14,0
10430,bah oui les juifs leurs frères dans l'oppression.,user_7,0
10431,"Islam has arrived well before Europe, so the connection of Islam with Europe is not correct.",user_11,0
10432,No Muslim woman is obligated to wear the veil.,user_5,0
10433,"Il y en aurai des millions sur la terre, au secours.",user_5,0
10434,C'est ignorer l'apport positif des millions de musulmans.,user_12,0
10435,et le rire de ce mongol de lucas tout bourré,user_1,0
10436,Exclure une partie des citoyens est un moyen de soumettre les citoyens.,user_9,0
10437,@user c'est l'arrivée de toute la populasse préhistorique venant du maghreb et d'afrique depuis 1960 qui est dangereuse.,user_14,0
10438,"Y en a par dessus la tête des excuses qui vous permettent d'écraser ceux qui ne pensent pas comme vous, on est dans un pays de liberté, pourquoi priver les femmes musulmanes de leur liberté? C'est tout simplement du racisme.",user_4,0
1044,@user @user maniaseries: «4 blocks» explore le monde brutal des clans mafieux arabes berlinois à la…… @url,user_14,0
10440,jv t'arracher les yeux des orbites tu parles trop mal sale arabe,user_9,0
10441,vous etes pourtant toujours gauchiste malgre vous me...,user_4,0
10442,C'est vous qui les enfermés en les stigmatisant autant.,user_12,0
10443,Les femmes voilées sont libres et portent le foulard par choix.,user_3,0
10444,délit de solidarité pour cédric herrou dans son combat pour l'accueil et la protection des migrants africains dan… @url,user_10,0
10445,#purge tous se qui ont participé une purge vous êtes juste vraiment attardé sa vous serre quoi de faire sa. i… @url,user_2,0
10446,It seems normal fo every republic to introduce a law against Islam out of nowhere.,user_7,0
10447,triage des migrants: [@user je parie un triage sur le volet des migrants autorisés et une forte présence policière....],user_14,0
10448,I don't know any women who are veiled out of obligation.,user_9,0
10449,sale arabe sale juif sale noir sale pédé... padon je suis ma…,user_7,0
1045,@user voilà que ça triche sale arabe,user_9,0
10450,idai seu mongol,user_13,0
10451,zebi marre de faire recale cause de sale tête d'arabe,user_14,0
10452,Je ne suis plus français ?,user_9,0
10453,l'attardé albanais @user souille la suisse avec ses âneries et mensonges @url,user_5,0
10454,du terrorisme intellectuel et des leçons de mora…,user_11,0
10455,united nations: stop au traffic humain de migrants africains en lybie - signez la pétition ! @url via @user,user_15,0
10456,Savez vous quel est le pourcentage de musulmans en France?,user_12,0
10457,mdr sale chienne de féministe de merde,user_2,0
10458,t'aimes bien les rebeus ? — j'ai rien contre mdrr @url,user_5,0
10459,le tout marchand est donc une derive gauchiste?,user_1,0
1046,envoyez zok omkom el qhab vos meilleurs potes rebeus (tunisiens de préference) et posez sa reaction sous ce tweet.,user_5,0
10460,@user @user c ca le problème les rebeu et renois des parents dure et après leurs enfants manquent… @url,user_9,0
10461,c'est donc ca le secret de la beaute et du bonheur eternel,user_13,0
10463,"Réponse par l'absurde: s'ils l'étaient tous, pourquoi seraient ils les victimes les plus nombreuses des terroristes ?",user_6,0
10465,"\"You maintain the concept of the \"\"clash of civilizations\"\" in order to frighten people.\"",user_2,0
10466,This is the result of listening too much to the media.,user_4,0
10467,yanïs je t'ai vu rt sale arabe ptn @url,user_15,0
10468,je reste sceptique sur les solutions très tranchées lorsqu'on ne s'attarde pas complèt…,user_11,0
10469,@user @user @user @user qu'est ce que tu racontes mongol change tes lunettes e… @url,user_1,0
1047,@user @user @user mais ferme ta gueule il raison c'est putain de raciste ce qu'il vient de faire l'attardé bavarois là,user_2,0
10470,@user manque plus que l'autre attardé de saotao et t'as le trio magique,user_7,0
10471,They are subject to God and they wear the veils freely.,user_2,0
10472,La liberté fait peur Celle qui porte le voile en sont la preuve.,user_5,0
10473,Représentation des choses faite par medias.,user_13,0
10474,les maghrébines qui sont attirés par les renois elles sont comme les lgbt obligé de le revendiqué.,user_3,0
10476,Meaningless statement.,user_15,0
10477,mdrr ce mongol déjà j'ai beau être un fan de…,user_2,0
10478,"This veil should be a non-event, why you give him a message. She doesn't wear it whether I believe in God or not.",user_1,0
1048,@user @user recu donc sacrifie une espece pour ne pas les tuer et les manger . c'est pour c... @url,user_4,0
10480,@user de mes expériences perso ( ) c'est bcp les rebeus aussi,user_12,0
10481,Ces propos stigmatisent les citoyens de cette religion.,user_1,0
10482,@user sah tu va prendre comme un attardé mais j'ai cru ct aryah zebi j'ai pas lu le pseudo,user_6,0
10483,Islam condemns violence.,user_12,0
