id,text,is_hateful,user
2566,les mamans renois vous êtes trop choupi à toucher mes cheveux dans l'metro etc mais j'ai quand mm peur,1,user_8
2635,il 20 ans:nle droitard: la france s'islamise.nle gauchiste: facho!nle droitard: l'ecole le niveau baisse les @url,1,user_14
2722,sale arabe ! benoit — exactement @url,1,user_8
3022,@user des vrais mongol. peu plus rien faire.,1,user_12
3023,@user en fait toi tu veux faire le gauchiste mais ta que des arguments de merde,1,user_13
3408,@user @user j’en ai prix au bled mais tu peut le trouver au marcher ou bien dans des épiceries arabe/renois,0,user_2
3535,@user parce que la justice et les médias gauchiste français sont des lâches et anti blanc la racaille est tr… @url,1,user_11
3641,@user @user @user sale juif,1,user_14
3664,@user salutations est-ce qu'un vegan est contre l'avortement ? logiquement oui vu qu'on tue un être vivant non ?,0,user_10
3908,@user @user @user oui mais c...etait un gauchiste tolerant.nil ne faut pas le stigmatiser.n,1,user_3
4049,Respect mutuel.,0,user_5
4359,Islamophobic comments.,0,user_15
4634,Ce type d'affirmation catÃƒÂ©gorise une population entiÃƒÂ¨re sans fondement aucun.,0,user_12
5177,@user @user vous confondez islam radical et terrorisme islamique. le premier mÃ¨ne parfois au second mais sonâ€¦ @url,1,user_7
5612,@user . quand 16% de la population est musulmane le processus d'#islamisation est irrÃ©versible un poinâ€¦ @url,0,user_7
5981,les bg renois ont souvent de gros nez. je dis Ã§a je ne dis rien.,1,user_2
6257,Incitement to hatred.,0,user_5
6561,Be muslim and keep calm ;-),0,user_5
6712,L'islam est une religion sombre.,1,user_13
7381,cette image est insoutenable!aprÃ¨s cela comment Ãªtre encore contre les rÃ©fugiÃ©s et les mesures prendre dans leurâ€¦ @url,0,user_10
7498,Un vÃƒÂªtement portÃƒÂ© par autrui peut vous gÃƒÂªner car vous n'y ÃƒÂªtes pas habituÃƒÂ© mais pas vous agresser. Cela n'a pas de sens.,0,user_13
7600,mdrkrkdk genre la mes darons rebeus mÃ©ga stricts ont vu des snaps de moi bourrÃ©s et ils disent rien y'a anguille sous roche,1,user_8
8124,"Euh, comment vous expliquer? Dans votre injonction il y a un mÃƒÂ©lange entre le concept de nationalitÃƒÂ© et le concept de religion. L'islam est ma religion et la France est mon Pays. .",0,user_14
8344,"You forgot jihadist, table tennis players, sprinter, Salakist. In good milk Sheep!",0,user_14
8553,Les musulmans changent la vie en europe.,1,user_11
8848,ferme ta gueule islamo gauchiste. en mai 2019 vous allez vous prendre uâ€¦,1,user_6
8854,C'est l'ignorance qui parle.,0,user_15
8887,j'aime pas sa facon de exprimÃ© en dirÃ© un mongol de marseille oui c'est un mongol de marseille ^^,1,user_1
9088,Vous interrogez vous sur le port de la mini-jupe ou du pantalon pour savoir si les femmes qui les portent sont contraintes?,0,user_12
9512,le racisme c le racisme pas votre dÃ©finition gauchiste et piteusement soumise aux racialistes et indigÃ©nistes .,1,user_4
9673,What do you mean by Salafist Islamists? We must avoid being dumbfounded by the continuous news channels BFM.,0,user_9
9857,tÃªte dâ€™Ã¢ne nâ€™a rien compris les juifs ont Ã©taient tuer parce quâ€™ils dÃ©fendent les et veux tâ€¦,1,user_12
9861,#4novembre2018 le plus beau cadeau inattendu 00h10 mon prÃ©sident.@user sâ€™attarde sur #tl des likes sâ€¦ @url,1,user_12
10263,Pouvez vous m'expliquer chaque terme?,0,user_13
10271,en svt avec chalvet câ€™fils de poulpe et câ€™est oussama qui avait dit que je lâ€™avais insulter en arabe ilâ€¦,1,user_12
10649,"Backward? The woman has had the right to give her political opinion, to enjoy her salary, to divorce since the arrival of Islam. In France, women's right to vote dates from 1945, divorcing by mutual consent from 1792. 1907 women have the right to dispose of their salaries. Other dates?",0,user_15
11404,Muslim women are citizens like the others and they should not be discirminated against under no circumstances!,0,user_5
11879,"Have you asked, at least once, to a veiled woman, if she was forced to wear a veil?",0,user_12
11880,putain je lis enfin lâ€™arabe du futur du riad sattouf et je comprends pk tous les blancs autour de moi vÃ©nÃ¨rent ce bâ€¦,0,user_10
11883,j'imagine l'Ã©tymologie comme mongol --&gt; golmon --&gt; golbute --&gt; golbuterie ? c'est technique.,1,user_4
11936,@user @user @user bon bah il lui que plus quâ€™une chance Ã  cette attardÃ©,1,user_5
12058,merci merkel et l'ue qui prÃ©fÃ¨re le migrant sans papier qui lui n'est mÃªme pas expulser ....bizarre ces gens,1,user_9
12148,This kind of tweet is a fraud for humanity.,0,user_8
12233,Tous les jours l islam vous prouve le contraire.,0,user_4
12385,@user @user @user les #arabes vont surtout faire +75 millions de morts en essayant d'â€¦ @url,1,user_8
12615,The Islamic veil is a matter of individual convictions.,0,user_4
12766,False. You can not stereotype everyone in the same category.,0,user_2
12911,"Coercion is forbidden in religion, according to the Koran. We can assume that it is their own will.",0,user_4
13624,"The Prophet set us an example when he took Mecca. While he had finally had the opportunity to take revenge on the men who had committed the worst barbarity (torture, exile, ambargo, murder), he forgave them all.",0,user_8
13844,le pire etre taxer voir humilier en etant pris pour un gauchiste !!!,1,user_15
13999,plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo…,0,user_11
14203,les rothschild sont dans la grande finance et rothschild = juif dans l’inconscient collecti…,0,user_2
14223,quand aux évêques qui bataillent contre la pma pourquoi l'avortement ou la contraception provoqueraient un gé…,1,user_4
14553,et le racisme des blancs envers les noirs et arabe tellement été gommé france que même individuellem…,0,user_2
15799,encore heureux daesh n’est que haine endoctrinement déformation de l’islam et terrori…,1,user_13
16224,joshua par k.o mais le russe il était sale chaud !!!,1,user_9
16229,mais c’est toi tu mentionne mongol,1,user_12
16307,j'aime une vidéo pour en finir avec la cruelle imposture des migrants (4/4) - abbé olivier rioult à l'adresse,1,user_7
16371,les arabes vont dire c’est l’oeil des gens,1,user_15
16456,demandez à julien cazarre d’arrêter de faire l’accent africain d’après lui à chaque fois qu’il un noir…,1,user_15
16578,par contre les renois ou les métisses avec les taches de rousseurs ça fascine de fou,0,user_12
16598,je suis il y’a même des féministes complotiste qui pensent que tout le mec ce rejoint la nuit pendant qu’ell…,1,user_3
16634,c'est marrant c'est toujours les ménopausées et les hommes contre l'avortement,0,user_14
16815,renois: [ mddddr oui et les embrouilles renois/rebeux c'était toi????,1,user_7
17223,les rebeus que je connaît des nez normaux t’es chelou même toi ton nez il est normal,1,user_4
17282,commando marine gauchiste c'est triste,0,user_10
17373,ne t'en fais pas tu n'es pas attardé juste lent.,1,user_11
19315,Figurez vous que je m'y trouve dans mon pays.,0,user_5
19718,Les musulmans dans leurs majoritÃ©s respectent les lois de la rÃ©publique.,0,user_2
19903,"Islam does not belong to any region as such, it is a religion like any other.",0,user_5
20115,La libertÃ© de conscience aussi.,0,user_11
21239,Les femmes voilÃ©es travaillent quand elles le souhaitent.,0,user_14
2441,@user bah le tweet mongol,1,user_11
2470,@user je vais passer pour un attardé mais j arrive pas lancer le chargement apres l avoir obtenu fait comment ?,1,user_8
2493,attend elle fantasme sur le renois jusqu’à elle rêve d’un cuni waou #insecurehbo,1,user_6
2745,en espagnol regardé un truc sur la loi contre l’avortement en argentine et comme par hasard les seules personn… @url,1,user_9
2831,les renois c'est un délire comment ils dégagent un bail surtout qd ils mettent des durag jvs love,0,user_11
3031,je vous jure c’est réel les renois ils aiment trop courir quand ils rigolent @url,1,user_2
3180,c’est fantastique d’avoir des renois dans une équipe,1,user_9
3677,@user @user @user un #gauchiste « qui #pense » : il n'a que la réflexion viscérale.,0,user_8
4245,For me not every one of us can live his liver without any problem.,0,user_5
4270,les rebeus avec des pp messi et death note Ã§a parle de vous les puces @url,1,user_8
4464,@user en meme temps en 1 h de cours l'arabe c'est appris ! wesh wallah nick ta mÃ¨re la pute sale franssÃ© moâ€¦ @url,1,user_14
4611,Il faudrait questionner les principales intÃƒÂ©ressÃƒÂ©es qu on n interroge quasiment jamais.,0,user_8
4651,"Veiled women are not subjected. They decided to wear their veils, like you decide what to wear everyday.",0,user_14
4667,t'es un peu un gauchiste mais j'aime bien tes tweets et tes retweets â€” je ne sais pas quoi rÃ©pondre,0,user_7
4991,il parler du prÃ©nom et nom bande d'attardÃ©,1,user_4
5147,@user ne t'en fais pas tu n'es pas attardÃ© juste lent.,1,user_12
5552,En islam il est formellement interdit de tuer ou de porter atteinte Ãƒ l'ÃƒÂªtre humain!,0,user_14
6267,"Au niveau statistique c'est faux, souhaitez vous les sources?",0,user_1
6840,La pudeur est un signe de vertu chez nous.,0,user_3
6855,putain mais laissez le il est attardÃ© mental comme azed story c lache de se moquer des handicapÃ©,1,user_9
7983,In a free country they are free to wear what they want.,0,user_1
8049,g 1 torticoli ca fait depui cmatin g la tÃªte penchee sur la droite dirait 1 mongol,1,user_14
8517,@user et ds les campagnes ..ou macron met 72 migrants dans un village de 400 personnes...et ou vont aller lâ€¦ @url,1,user_5
8722,mdr les babtous et les renois non musulmans vous Ãªtes fascinants Ã§a aborde le sexe en toute dÃ©contracâ€¦,1,user_14
8866,Do you have examples?,0,user_2
8893,Les valeurs de rÃƒÂ©publique ne sont pas en opposition avec celles de l'islam. C'est faux.,0,user_11
8954,personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,1,user_14
9173,"Who is the most at home, who is rejecting the other by fear or the Muslim who home. The only country of the racist is the person and only him!",0,user_9
9236,Cela fait partie de la religion musulmane de se couvrir avec un voile.,0,user_8
9274,Islamophobie exacerbÃƒÂ©e.,0,user_5
9765,la vraie question est: la france veut-elle encore un peu plus de violence !?,0,user_7
10250,typique du gauchiste dans le deni de realite. elle pense parce qu...elle te bloque et ne tu ne la vois...,1,user_6
10586,c'est ce gauchiste de sotto qui mÃ¨ne le dÃ©bat?? Ã‡a promet...,1,user_12
10820,de base je voulais tinsulter d'attardÃ©,1,user_14
11029,donc du coup lÃ  goe Ã©tait en couple mais revoyez le renois 1 en mÃªme temps genre elle faisait exprÃ¨s de sâ€™embrouilâ€¦,0,user_2
11419,Je reste sans voix face Ãƒ ces allÃƒÂ©gations.,0,user_12
11490,un jour au college Ã  l'Ã©poque je m'Ã©tais fait insulter de sale juif ( suis musulman ) par un juif complexÃ© de l'Ã«trâ€¦,1,user_3
11593,Propos d'inculte et de raciste.,0,user_10
11694,var ou pas var pourquoi strootman fait Ã§a ? quel mongol.,1,user_11
11907,"If a minority of 'Muslims' allows you to say that ALL Muslims are terrorists, then if you have a defective neuron in your brain, we can deduce from your logic that you are completely crazy!",0,user_6
12131,les partisans : rÃ©cit d'une dÃ©rive gauchiste (par ilian karst) @url via @user,1,user_3
12187,"Wearing a veil, and therefore expressing one's religious opinion is one of the fundamental freedoms of the individual. Each of us expresses his or her individuality. The wearing of the veil, in the same way, is the expression of an individuality.",0,user_3
12208,"Ignorance de la religion musulmane, l'islam est une religion de paix.",0,user_9
12296,Our religion has no nationality.,0,user_2
12454,@user sauf que si tu les tues bah yâ€™en qui spawn triple attardÃ© et tu les tues avec le feu spectral sous la fenetre putain,1,user_8
13244,grande-bretagne : la priÃ¨re musulmane est rÃ©citÃ©e (en arabe) avant lâ€™ouverture de la session du conseil municipal dâ€¦,1,user_10
13348,dans lâ€™extrait yâ€™a lacrim il cri comme un mongol crois il le flow de 69 ptn @url,1,user_12
13927,liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,1,user_11
13943,dc maintenant dire que ou le sont des lobby juif et sioniste sachant qu’il se revendique tel que…,0,user_11
14031,même histoire bi-llahi.. alala les hommes des vrais mongol pour la plus part,1,user_4
14503,ceux là méritent même pas qu'on s'attarde dessus ..j'vais pas faire unanimité là dessus…,0,user_8
14578,t’es attardé ? baptiste ya un e et c’est bien masculin pourtant,1,user_4
15595,gros mongol bloque moi espèce de gamin . c'est ta mère qui aurait dû bloquer ton père ta conception ( c'est bien…,1,user_2
16039,le troll néonazi qui critique le troll gauchiste,1,user_7
16558,et l’autre qui like le tweet avec écrit « sale arabe » mdrr,1,user_6
