id,text,user,is_hateful
0,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,user_15,0
1,@user @user @user bah oui t'as raison l'autre c'est un mongol.,user_8,0
10,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu'elle p… @url,user_15,0
100,@user @user @user @user @user juste un gauchiste toujours à donner des leçons de morale,user_8,0
1000,@user wauquiez est un gauchiste par rapport à nous,user_14,0
10000,@user @user ce n'est pas de sa faute : il est attardé.,user_3,0
10001,@user @user « nous sommes en france ».... « nous ne sommes pas en afrique » vos propos sont d'un ri… @url,user_14,0
10002,"If by problem you mean that Muslims are investing a public space that was forbidden to them until a few decades ago, it is not society that has a Muslim problem, it is you who have a hate problem.",user_12,0
10003,ici c'est arabo-satanique. pour le sale arabe je le croisais…,user_12,0
10004,"Le voile dérange car il est visible, on peut dire quoi sur le port de La Croix ou d'une kippa?",user_15,0
10005,Why in hatred for a community that just doesn't ask to be at peace :(.,user_10,0
10006,Vous avez peur de ce que vous ne connaissez pas.,user_2,0
10007,Others are well subject to idiocy.,user_9,0
10008,@user @user l'argument c'est que les noirs et les arabes se revendiquent comme noir et arabes et le pigeon g… @url,user_2,0
10009,@user @user j'aimerais bien savoir pourquoi « l'islamogauchiste » est votre ennemi principal et… @url,user_11,0
1001,@user une des pires celle-là ... une gauchiste revendiquée d'ailleurs ...,user_14,0
10010,L'islam nous envahira: c'est l'islamisation.,user_9,0
10011,Je suis surement plus légitime dans mon statut de citoyen Français que vous ne l'êtes avec vos propos haineux.,user_3,0
10012,@user faux nul zéro la majorité ne sont pas arabes,user_6,0
10013,wallah frere y'a des renois ici si ils disent pas du mal des arabes ils dorment archi mal (hamdoulla…,user_5,0
10014,des #migrants clandestins armés s'affrontent devant la fac d'éco-gestion à #marseille. les expulser est une urgence… @url,user_5,0
10015,"Their numbers are growing, thus it should please them .",user_11,0
10016,bien des migrants vivaient aussi dans l'illégalité aux États-unis @url,user_12,0
10017,les français parlent aux français... ils n'y pas de violence policière à ouistreham... je répète...,user_1,0
10018,Je sens un coeur plein de haine. Vous vous sentiriez lésé par votre ombre.,user_4,0
1002,pk faut-il tjrs q les arabes soit pervers mashallah,user_15,0
10020,sur cette coupe moi j'avais entendu que cest parce qu'il revenait d'une blessure au genou et voulait qu'on s'attard…,user_6,0
10021,@user j'ai pas compris la sale arabe tu veu s'tap,user_5,0
10022,Ignorance is the worst disease.,user_8,0
10023,bts quand ils vont arriver le 20 et voir que y'a que des renois et rebeux vont voir flou,user_9,0
10024,les populistes comme tu disils vont sauver ta peau de bobo gauchiste. certains n...attendent que le cha...,user_11,0
10025,donc maintenant les juges ne sont plus gauchistes ? ou est simplement gauchiste celu…,user_12,0
10026,Je me désolidarise de cet acte en tant que musulman.,user_4,0
10027,They are victims of discrimination in hiring.,user_5,0
10028,bon bah il lui que plus qu'une chance à cette attardé,user_2,0
10029,@user nan les renois rebeu que j'ai c'est des rebeu/renoi pas bon del,user_5,0
1003,@user @user @user et dites aussi vive le front national pendant que vous etes ! c'est une histoi... @url,user_10,0
10030,@user il faut effectivement penser globalement et lier le terrorisme l'intégrisme musulman la radicalisation… @url,user_11,0
10031,Quels sont les arguments?!,user_9,0
10032,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu…,user_2,0
10033,je ne suis pas rendue compte de la violence de cette séance.,user_15,0
10034,mêler islam et violence de manière systémique voilà le but... qu ils utilisent le terme terrorisme... c…,user_2,0
10035,donc elle viens d'insulter les arabes de fdp mais tu propose encore tes bras ?? mdrrrr passe à la maison que je t'e… @url,user_4,0
10036,et elle retour en afrique qui l'attend.,user_10,0
10037,si tu en vois 2 et ils ont des têtes de rebeus,user_7,0
10038,@user et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe,user_14,0
10039,jveux aller au québec pour traiter en des gros renois stock en français sans rien risquer et sentir viril,user_8,0
1004,du coup si les asiat et les rebeu physiquement ne m'attirent pas trop je suis aussi raciste des asiat et des rebeu… @url,user_14,0
10040,un gauchiste qui préfère essayer de récupérer les dernières voies des socialistes en fe…,user_10,0
10042,pauvres cons qui imposent leur dictature gauchiste... dieudonné soral et zemmour sont int…,user_1,0
10043,Which?,user_5,0
10044,Fear of Islam.,user_9,0
10045,que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,user_6,0
10047,ce sont tes frères qui veulent tabasser des renois car leur sœur sont attirées par des renois n'inversons pas…,user_2,0
10048,@user oui d'autant plus que zemour est à la fois d'origine juive et arabe. ce type renie sa famille et s… @url,user_15,0
1005,reconnaissons à la gauchiste #fourest le mérite d'avoir ouvert les yeux sur les ravages de l'idéologie mortifère de… @url,user_15,0
10050,ah bon ? si quelqu'un n'est pas de ton avis c'est un attardé ? ouaouh,user_9,0
10051,L'islam est cruel.,user_12,0
10053,Les musulmans sont tous pareils.,user_15,0
10055,Why?,user_3,0
10056,@user j'avais bien fait de l'unfollow quand je voyais ces tweets bizarres sur les arabes mais à ce moment là… @url,user_14,0
10057,"Si vous pensez qu'en harcelant la femme elle faiblira et fera marche arrière, c'est que vous n'avez rien compris au respect de la liberté de conscience.",user_7,0
10058,Si il est très compatible même.,user_4,0
10059,est quand même sur l'équivalent les boulangers vous expliquent pourquoi ils sont contre l'avortement…,user_4,0
1006,@user espèce de sale trans tu ressemble à un vieux pd qui sort d'une grosse partouze avec des renoi,user_3,0
10060,et pourtant je dis ce que je vois chez de nombreux rebeus dans mon entourage et crois moi…,user_12,0
10061,mais ils ont grv la grisaille les renois laaaa tema matuidi,user_3,0
10062,"Musulman mène aux guerres, ce n'est pas une religion progressiste.",user_1,0
10063,C'est juste une démonstration de sa foi.,user_9,0
10064,"Islam is a religion of peace, love and brotherhood. It has never intended to kill or brutalize people.",user_7,0
10065,inadmissible.. surement de la racaille gauchiste,user_7,0
10066,@user @user @user @user ce n'est pas de faute si tu écris comme un attardé atrophié du… @url,user_5,0
10067,mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to…,user_10,0
10068,le pire ce sont les plans de coupe sur l'autre mongol de carbonnier fan du qsg qui se…,user_9,0
10069,un gauchiste deguise en politicien de droite un voyou de la band…,user_15,0
1007,@user je suis origine purement berbèreje retrouve avec un nom et prénom purement arabes! Ça veut tout dire en marre .,user_5,0
10070,est tiré vers le bas mais très profond! censure dictature de la pensée unique terrorisme intellectuel…,user_14,0
10071,beaucoup de migrants viennent également de pays anglophones et autres. il y'a un déséquilibre entre les…,user_6,0
10072,je commence à m'intéresser aux rebeus jsais pas se qui spasse la,user_9,0
10073,Le corps d'une femme voilée est telle un trésor que l'on cache dans un coffre fort.,user_4,0
10074,mariage des renois c'est plus un taff qu'autre chose,user_9,0
10075,"Many people do not apply them, it does not pose a problem?",user_12,0
10076,une école vandalisée à marseille : @url #marseille #ecole #violence,user_15,0
10077,l'islam n'est pas le terrorisme... je veux dire l'extrémisme et il existe dans toutes l…,user_1,0
