id,text,user,is_hateful
10037,si tu en vois 2 et ils ont des têtes de rebeus,user_7,0
10038,@user et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe,user_14,0
10039,jveux aller au québec pour traiter en des gros renois stock en français sans rien risquer et sentir viril,user_8,0
1004,du coup si les asiat et les rebeu physiquement ne m'attirent pas trop je suis aussi raciste des asiat et des rebeu… @url,user_14,0
10040,un gauchiste qui préfère essayer de récupérer les dernières voies des socialistes en fe…,user_10,0
10042,pauvres cons qui imposent leur dictature gauchiste... dieudonné soral et zemmour sont int…,user_1,0
10043,Which?,user_5,0
10044,Fear of Islam.,user_9,0
10045,que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,user_6,0
10047,ce sont tes frères qui veulent tabasser des renois car leur sœur sont attirées par des renois n'inversons pas…,user_2,0
10048,@user oui d'autant plus que zemour est à la fois d'origine juive et arabe. ce type renie sa famille et s… @url,user_15,0
1005,reconnaissons à la gauchiste #fourest le mérite d'avoir ouvert les yeux sur les ravages de l'idéologie mortifère de… @url,user_15,0
10050,ah bon ? si quelqu'un n'est pas de ton avis c'est un attardé ? ouaouh,user_9,0
10051,L'islam est cruel.,user_12,0
10053,Les musulmans sont tous pareils.,user_15,0
10055,Why?,user_3,0
10056,@user j'avais bien fait de l'unfollow quand je voyais ces tweets bizarres sur les arabes mais à ce moment là… @url,user_14,0
10057,"Si vous pensez qu'en harcelant la femme elle faiblira et fera marche arrière, c'est que vous n'avez rien compris au respect de la liberté de conscience.",user_7,0
10058,Si il est très compatible même.,user_4,0
10059,est quand même sur l'équivalent les boulangers vous expliquent pourquoi ils sont contre l'avortement…,user_4,0
1006,@user espèce de sale trans tu ressemble à un vieux pd qui sort d'une grosse partouze avec des renoi,user_3,0
10060,et pourtant je dis ce que je vois chez de nombreux rebeus dans mon entourage et crois moi…,user_12,0
10061,mais ils ont grv la grisaille les renois laaaa tema matuidi,user_3,0
10062,"Musulman mène aux guerres, ce n'est pas une religion progressiste.",user_1,0
10063,C'est juste une démonstration de sa foi.,user_9,0
10064,"Islam is a religion of peace, love and brotherhood. It has never intended to kill or brutalize people.",user_7,0
10065,inadmissible.. surement de la racaille gauchiste,user_7,0
10066,@user @user @user @user ce n'est pas de faute si tu écris comme un attardé atrophié du… @url,user_5,0
