id,text,user,is_hateful
10111,1.8 milliards de musulmans dans le monde. Donc 1.8 milliards de terroristes.,user_4,0
10112,vraiment un sale arabe lacrim,user_1,0
10114,"The term Islamism was coined during colonization to designate those who were against the settlers and their policy of inhibiting Islam, especially in the Maghreb.",user_11,0
10116,I dare to say that the Republic is incompatible with all religions.,user_10,0
10117,@user Ça va y'a vraiiiiiiment pire meuf tu forces de ouf quand même. après oui c'est un attardé mais bon la routine.,user_13,0
10118,C'est vous qui créez des problèmes et des polémiques pour taper sur les musulmans.,user_2,0
10119,Learn to live together.,user_9,0
1012,@user @user les idiots utiles de l islamisation,user_5,0
10121,en même temps avec ta gueule de mongol ...,user_1,0
10122,Ok si tu le dis.,user_13,0
10123,@user @user et les hommes qui meurent du fait de la violence conjugale? elle en parle ? car sur 5 personnes… @url,user_9,0
10125,@user @user je ne suis absolument pas contre l'avortement mais je suis surtout pour les contrace… @url,user_1,0
10126,@user je veux juste que mes enfants puissent vivre dans mon pays sans que des gens comme vous amène la violence… @url,user_4,0
10127,Ça m'fume les renois quand ils rigolent ils sont obligés de tapé un 200m sprint @url,user_7,0
10128,"It is not the Muslims who are bombing Syria, Libya, Mali and so on.",user_9,0
10129,@user et après la gauche vient chouiner de perdre toute les élections. vous en avez pas marre de votre terrorisme intellectuel ?,user_3,0
1013,@user qu'ils bz leur pute de mère ils rendent fous avec leur clash rebeus renois à deux balles,user_3,0
10130,L'islam nous demande de respecter les lois de la république.,user_8,0
10131,ah pprt vai tomar cu mongol,user_6,0
