id,text,user,is_hateful
10067,mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to…,user_10,0
10068,le pire ce sont les plans de coupe sur l'autre mongol de carbonnier fan du qsg qui se…,user_9,0
10069,un gauchiste deguise en politicien de droite un voyou de la band…,user_15,0
1007,@user je suis origine purement berbèreje retrouve avec un nom et prénom purement arabes! Ça veut tout dire en marre .,user_5,0
10070,est tiré vers le bas mais très profond! censure dictature de la pensée unique terrorisme intellectuel…,user_14,0
10071,beaucoup de migrants viennent également de pays anglophones et autres. il y'a un déséquilibre entre les…,user_6,0
10072,je commence à m'intéresser aux rebeus jsais pas se qui spasse la,user_9,0
10073,Le corps d'une femme voilée est telle un trésor que l'on cache dans un coffre fort.,user_4,0
10074,mariage des renois c'est plus un taff qu'autre chose,user_9,0
10075,"Many people do not apply them, it does not pose a problem?",user_12,0
10076,une école vandalisée à marseille : @url #marseille #ecole #violence,user_15,0
10077,l'islam n'est pas le terrorisme... je veux dire l'extrémisme et il existe dans toutes l…,user_1,0
