id,text,user,is_hateful
10734,depuis hier à cause de ce mongol de butler j'ai le keep energy dans la tête. c'est horrible,user_4,0
10735,l'islam valide le terrorisme et ne s'y oppose pas ce que fait daesh n'est absolument pas e…,user_12,0
10736,tin mais sont attardes les ching chong,user_4,0
10737,la semaine dernière c'était l'africanisation et l'islamisation de la france aujourd'hui c'est le négationnisme .,user_11,0
10738,"Les musulmans, sont des citoyens français, comme tout citoyen d'autres confessions religieuses, la religion ne peut remettre en cause la nationalité ou citoyenneté garantie par la République française.",user_1,0
10739,@user un gros mongol et j'ai masque ses contenus car il apparaît sans rien demander. et voir juste ce qu'il fai… @url,user_15,0
1074,@user @user c'est un mongol,user_7,0
10740,je suis farouchement contre l'avortement mais votre tweet est vraiment débile. mais atteint des niveaux. aucune…,user_4,0
10741,"Just like the police, forced to wear the helmet!",user_6,0
10742,"Avant la christianisation de la france, il y avait peut etre une religion majoritaire, et avant cela, sans doute une autre, et ainsi de suite. Apres l'islamisation, peut etre que la france deviendra bouddhiste, c'est ce qui fait tout simplement l'histoire de l'humanité.",user_2,0
10743,et que dis-tu de : qualifier de violence les dégradations ou les sabotage…,user_14,0
10744,en meme temps en 1 h de cours l'arabe c'est appris ! wesh wallah nick ta mère la pute sale franssé mo…,user_10,0
10745,d'où sont originaires la plupart des #réfugiés ? les deux tiers des réfugiés proviennent de cinq pays seulement :… @url,user_14,0
10746,Veiled women are much more active when in your clichés.,user_14,0
10747,Si un voile a cet effet sur toi comment supportes tu de te balader en ville avec autant de melting pot?,user_8,0
10748,"If this is an aggression, I advise you to live in a cave because there will always be veiled women.",user_5,0
10749,voici comment l'afp immigrationiste et mondialiste islamo gauchiste et dans son essence anti trouve le moyen…,user_6,0
1075,@user c'est demain attardé,user_7,0
10750,Si en France le voile est politique quelle est sa démonstration en Égypte?,user_1,0
10751,les renois tue en plus tout en l'traitant il lui lâche un regarde maintenant il une tête de tomate j'riais et… @url,user_7,0
10752,'' eux ils ont jamais froid ils ont peur des noirs et des arabes mais ils ont pas peur du froid '' aller hop il refait matinée,user_5,0
10754,"Le musulman reconait toutes les religions du livre et se doit d'aller vers l,autres.",user_14,0
10755,@user mais bordel je suis même pas contre l'avortement je respecte juste le droit de certains à pas vouloir l… @url,user_15,0
10756,"En fin de compte, les musulmans veulent soit nous convertir soit nous tuer.",user_4,0
10757,@user @user @user mais bon quand trouve que les gauchos sont la pire violence en ce bas monde… @url,user_13,0
10759,merci au 405 mongol qui suivent et qui calcul jamais mes tweet ! je continuerai à forcer avec mes tweets meme si…,user_4,0
1076,adel que il trouve des perles dans la catégorie attardé de l'année et jtombe tjr avec lui,user_3,0
