id,text,user,is_hateful
10144,peut-être un gauchiste ?,user_1,0
10145,c'est rebeu/renoi — j'ai pas mis les rebeus dedans mdr,user_5,0
10146,@user non je connais juste le commentaire que tu partages tout fièrement et qui prouve que t'es juste un attardé pour oser en rigoler,user_1,0
10147,j'ai vu flou,user_7,0
10149,j'devais commencer à 8h15 mais j'suis encore le tram ça fout la haine psq c'est toujours les renois dans mon am…,user_12,0
1015,@user @user tu va attirer tous les attardé fan d'hanouna,user_3,0
10150,Endangering the lives of Muslims.,user_7,0
10151,"\"Ou la la je comprend plus rien trop de \"\"ISTES\"\".\"",user_2,0
10152,No muslim. The majority of Muslims in France are French and Republicans.,user_11,0
10153,(g trouvé enft jui juste attardé profond jcrois),user_7,0
10154,"If there were really soumission from islamic women, oppression and stigma would not be liberating means.",user_14,0
10155,est allé à la boutique nespresso ptdr le mec il demandé si achetait du café pr l'hôtel il vu deux renois…,user_1,0
